microsoftwindowsazuremanagementautomation,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.Automation,1.0.3
microsoftwindowsazuremanagementcompute,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.Compute,14.0.0
microsoftwindowsazuremanagementexpressroute,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.ExpressRoute,0.23.0-preview
microsoftwindowsazuremanagementhdinsight,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.HDInsight,1.5.13
microsoftwindowsazuremanagementlibraries,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.Libraries,2.0.0
microsoftwindowsazuremanagementmediaservices,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.MediaServices,4.1.0
microsoftwindowsazuremanagementmonitoring,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.Monitoring,4.1.0
microsoftwindowsazuremanagementnetwork,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.Network,8.2.1
microsoftwindowsazuremanagementremoteapp,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.RemoteApp,2.0.7
microsoftwindowsazuremanagementscheduler,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.Scheduler,6.2.0
microsoftwindowsazuremanagementservicebus,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.ServiceBus,0.19.0-preview
microsoftwindowsazuremanagementsql,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.Sql,5.2.0
microsoftwindowsazuremanagementstorage,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.Storage,6.0.1
microsoftwindowsazuremanagementstore,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.Store,0.15.1-preview
microsoftwindowsazuremanagementstorsimple,[isPrerelease=true;tfm=netstandard2.0]Microsoft.WindowsAzure.Management.StorSimple,1.0.5-preview
microsoftwindowsazuremanagementtrafficmanager,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.TrafficManager,0.16.1-preview
microsoftwindowsazuremanagementvirtualnetworks,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.VirtualNetworks,0.9.9-preview
microsoftwindowsazuremanagementwebsites,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management.WebSites,5.0.0-prerelease
windowsazuremediaservices,[tfm=netstandard2.0]windowsazure.mediaservices,4.2.0
windowsazuremobileservices,[tfm=netstandard2.0]WindowsAzure.MobileServices,1.3.2
